"filename", "language", "C++", "CMake", "YAML", "Markdown", "Dart", "Swift", "HTML", "JSON", "XML", "JavaScript", "Properties", "comment", "blank", "total"
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\common\confilcting_crad.dart", "Dart", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 4, 57
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\common\custom_app_bar.dart", "Dart", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 5, 53
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\common\error_refresh_view.dart", "Dart", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 4, 21
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\common\icon_with_text.dart", "Dart", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 4, 39
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\common\label_text.dart", "Dart", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\common\profile_image.dart", "Dart", 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 0, 12, 5, 62
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\common\profile_network_image.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\common\refresh_indicator_view.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 3, 17
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\home\home_add_btn.dart", "Dart", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 4, 78
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\home\home_appbar.dart", "Dart", 0, 0, 0, 0, 235, 0, 0, 0, 0, 0, 0, 14, 7, 256
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\home\home_list_items.dart", "Dart", 0, 0, 0, 0, 397, 0, 0, 0, 0, 0, 0, 23, 10, 430
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\home\home_ready_to_start_card.dart", "Dart", 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 5, 9, 152
"e:\Development\Multan\XtraAppStudio\3.35.4\drivvo\lib\custom-widget\home\home_welcome_item.dart", "Dart", 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 0, 12, 4, 184
